Date,Close,Open,High,Low,Volume,Change %
2018-05-08,10717.8,10757.9,10758.55,10689.4,278120000.0,0.02%
2018-05-09,10741.7,10693.35,10766.25,10689.85,222120000.0,0.22%
2018-05-10,10716.55,10779.65,10785.55,10705.0,197990000.0,-0.23%
2018-05-11,10806.5,10741.95,10812.05,10724.45,209390000.0,0.84%
2018-05-14,10806.6,10815.15,10834.85,10774.75,176700000.0,0.00%
2018-05-15,10801.85,10812.6,10929.2,10781.4,262200000.0,-0.04%
2018-05-16,10741.1,10751.95,10790.45,10699.7,238220000.0,-0.56%
2018-05-17,10682.7,10775.6,10777.25,10664.5,220740000.0,-0.54%
2018-05-18,10596.4,10671.85,10674.95,10589.1,229910000.0,-0.81%
2018-05-21,10516.7,10616.7,10621.7,10505.8,197290000.0,-0.75%
2018-05-22,10536.7,10518.45,10558.6,10490.55,249240000.0,0.19%
2018-05-23,10430.35,10521.1,10533.55,10417.8,299920000.0,-1.01%
2018-05-24,10513.85,10464.85,10535.15,10419.8,306790000.0,0.80%
2018-05-25,10605.15,10533.05,10628.05,10524.0,268920000.0,0.87%
2018-05-28,10688.65,10648.35,10709.8,10640.55,239790000.0,0.79%
2018-05-29,10633.3,10689.4,10717.25,10616.1,232760000.0,-0.52%
2018-05-30,10614.35,10579.0,10648.7,10558.45,246120000.0,-0.18%
2018-05-31,10736.15,10670.1,10763.8,10620.4,629200000.0,1.15%
2018-06-01,10696.2,10738.45,10764.75,10681.5,227360000.0,-0.37%
2018-06-04,10628.5,10765.95,10770.3,10618.35,210150000.0,-0.63%
2018-06-05,10593.15,10630.7,10633.15,10550.9,172900000.0,-0.33%
2018-06-06,10684.65,10603.45,10698.35,10587.5,195760000.0,0.86%
2018-06-07,10768.35,10722.6,10818.0,10722.6,227660000.0,0.78%
2018-06-08,10767.65,10736.4,10779.45,10709.05,215940000.0,-0.01%
2018-06-11,10786.95,10781.85,10850.55,10777.05,217850000.0,0.18%
2018-06-12,10842.85,10816.15,10856.55,10789.4,204420000.0,0.52%
2018-06-13,10856.7,10887.5,10893.25,10842.65,220000000.0,0.13%
2018-06-14,10808.05,10832.9,10833.7,10773.55,190030000.0,-0.45%
2018-06-15,10817.7,10808.65,10834.0,10755.4,314760000.0,0.09%
2018-06-18,10799.85,10830.2,10830.2,10787.35,202730000.0,-0.17%
2018-06-19,10710.45,10789.45,10789.45,10701.2,231380000.0,-0.83%
2018-06-20,10772.05,10734.65,10781.8,10724.05,199470000.0,0.58%
2018-06-21,10741.1,10808.45,10809.6,10725.9,230510000.0,-0.29%
2018-06-22,10821.85,10742.7,10837.0,10710.45,236900000.0,0.75%
2018-06-25,10762.45,10822.9,10831.05,10753.05,236690000.0,-0.55%
2018-06-26,10769.15,10742.7,10805.25,10732.55,226850000.0,0.06%
2018-06-27,10671.4,10785.5,10785.5,10652.4,253620000.0,-0.91%
2018-06-28,10589.1,10660.8,10674.2,10557.7,363160000.0,-0.77%
2018-06-29,10714.3,10612.85,10723.05,10612.35,250330000.0,1.18%
2018-07-02,10657.3,10732.35,10736.15,10604.65,304540000.0,-0.53%
2018-07-03,10699.9,10668.6,10713.3,10630.25,208370000.0,0.40%
2018-07-04,10769.9,10715.0,10777.15,10677.75,179270000.0,0.65%
2018-07-05,10749.75,10786.05,10786.05,10726.25,227270000.0,-0.19%
2018-07-06,10772.65,10744.15,10816.35,10735.05,256550000.0,0.21%
2018-07-09,10852.9,10838.3,10860.35,10807.15,189330000.0,0.74%
2018-07-10,10947.25,10902.75,10956.9,10876.65,203060000.0,0.87%
2018-07-11,10948.3,10956.4,10976.65,10923.0,229210000.0,0.01%
2018-07-12,11023.2,11006.95,11078.3,10999.65,256040000.00000003,0.68%
2018-07-13,11018.9,11056.9,11071.35,10999.75,241670000.0,-0.04%
2018-07-16,10936.85,11018.95,11019.5,10926.25,216970000.0,-0.74%
2018-07-17,11008.05,10939.65,11018.5,10925.6,217110000.0,0.65%
2018-07-18,10980.45,11060.2,11076.2,10956.3,232500000.0,-0.25%
2018-07-19,10957.1,10999.5,11006.5,10935.45,222060000.0,-0.21%
2018-07-20,11010.2,10963.5,11030.25,10946.2,193140000.0,0.48%
2018-07-23,11084.75,11019.85,11093.4,11010.95,236150000.0,0.68%
2018-07-24,11134.3,11109.0,11143.4,11092.5,212250000.0,0.45%
2018-07-25,11132.0,11148.4,11157.15,11113.25,212330000.0,-0.02%
2018-07-26,11167.3,11132.95,11185.85,11125.7,376660000.0,0.32%
2018-07-27,11278.35,11232.75,11283.4,11210.25,324340000.0,0.99%
2018-07-30,11319.55,11296.65,11328.1,11261.45,287440000.0,0.37%
